call_id	label	category	youtube_url	start_sec	end_sec	scammer_speaker	transcript_file	notes	segment_range
Kvl8-9FTYYI	1	other	https://www.youtube.com/watch?v=Kvl8-9FTYYI	0	225		transcripts/Kvl8-9FTYYI.json	reviewed: scam call starts immediately; trim trailing disconnected-number chatter	0:80
SeW-CsAP17k	1	other	https://www.youtube.com/watch?v=SeW-CsAP17k	10	381		transcripts/SeW-CsAP17k.json	reviewed: scam-bait call throughout clip	0:99
AEZdbouYj4s	1	other	https://www.youtube.com/watch?v=AEZdbouYj4s	4	518		transcripts/AEZdbouYj4s.json	reviewed: trim opening fragment; scam-bait refund call follows	1:77
i1HiVe7LM4c	1	call_center	https://www.youtube.com/watch?v=i1HiVe7LM4c	356	485		transcripts/i1HiVe7LM4c.json	reviewed: documentary-style clip; keep victim-warning/call-center incident segment only	59:84
e79yjpumaDI	1	other	https://www.youtube.com/watch?v=e79yjpumaDI	281	454		transcripts/e79yjpumaDI.json	reviewed: keep bank intervention call; trim story intro and channel outro	58:88
6xN_6joxx5U	1	call_center	https://www.youtube.com/watch?v=6xN_6joxx5U	14	329		transcripts/6xN_6joxx5U.json	reviewed: keep main Amazon scam call; trim later victim follow-up calls/outro	2:130
hpZFJctBUHQ	0	order_taking	https://www.youtube.com/watch?v=hpZFJctBUHQ	0	108		transcripts/hpZFJctBUHQ.json	reviewed: clean legitimate order-taking call	0:19
gD7xQGXpSBg	0	tech_support	https://www.youtube.com/watch?v=gD7xQGXpSBg	2	127		transcripts/gD7xQGXpSBg.json	reviewed: clean legitimate tech-support complaint call	0:49
z44Sve0qbaE	0	doctor_appointment	https://www.youtube.com/watch?v=z44Sve0qbaE	11	208		transcripts/z44Sve0qbaE.json	reviewed: trim lesson intro; appointment call starts at segment 2	2:38
QTZq96twjs0	0	customer_service	https://www.youtube.com/watch?v=QTZq96twjs0	3	184		transcripts/QTZq96twjs0.json	reviewed: clean legitimate customer-service mock call	0:34
SXGtFXRz2Lg	0	refund	https://www.youtube.com/watch?v=SXGtFXRz2Lg	6	346		transcripts/SXGtFXRz2Lg.json	reviewed: clean legitimate product-refund call	0:22
IVoWT_YyEog	0	billing	https://www.youtube.com/watch?v=IVoWT_YyEog	20	426		transcripts/IVoWT_YyEog.json	reviewed: trim product-knowledge intro and tutorial outro	2:56
SLqA7FxS_FA	1	refund	https://www.youtube.com/watch?v=SLqA7FxS_FA	60	720		transcripts/SLqA7FxS_FA.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Fake Refund Scammer Goes Insane After Wasting 40 Mins	
HvtH5l9mcAM	1	gift_card	https://www.youtube.com/watch?v=HvtH5l9mcAM	120	900		transcripts/HvtH5l9mcAM.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample early active scam-call segment; title=Scammers Go Mad Losing $3K In Gift Cards (Full Call)	
g5k8FStSw-c	1	refund	https://www.youtube.com/watch?v=g5k8FStSw-c	60	720		transcripts/g5k8FStSw-c.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Scammers vs Endless Refund Forms	
rvDTIdbM85g	1	gift_card	https://www.youtube.com/watch?v=rvDTIdbM85g	60	720		transcripts/rvDTIdbM85g.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Making a Scam Call Center FURIOUS by Redeeming Gift Cards	
K8weeeK-BPQ	1	refund	https://www.youtube.com/watch?v=K8weeeK-BPQ	30	834		transcripts/K8weeeK-BPQ.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: short scam-bait clip, light intro trim; title=Spending All My Money While Scammers Watch (they're furious)	
rnwkX9fmZG0	1	refund	https://www.youtube.com/watch?v=rnwkX9fmZG0	60	720		transcripts/rnwkX9fmZG0.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=I Tried Refunding a Refund Scammer (he was furious)	
SiPW2BCX8Mg	1	refund	https://www.youtube.com/watch?v=SiPW2BCX8Mg	60	720		transcripts/SiPW2BCX8Mg.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Refunding A Refund Scammer Using His Own Technique	
o5q2Louzwxg	1	refund	https://www.youtube.com/watch?v=o5q2Louzwxg	120	900		transcripts/o5q2Louzwxg.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample early active scam-call segment; title=Refund Scam Challenge - All Characters In One Call & Google A Redeem (They Go Crazy) 2+hrs	
M5xLUiRbd6U	1	refund	https://www.youtube.com/watch?v=M5xLUiRbd6U	120	900		transcripts/M5xLUiRbd6U.json	"bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample early active scam-call segment; title=$4,000 ""Refund"" Scam Ruined - Spending The Money"	
D7V0Oda3DAA	1	gift_card	https://www.youtube.com/watch?v=D7V0Oda3DAA	60	720		transcripts/D7V0Oda3DAA.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Entire Scam Call Center Goes Mad While I Redeem Gift Cards	
sZMeC-04h0s	1	other	https://www.youtube.com/watch?v=sZMeC-04h0s	30	587		transcripts/sZMeC-04h0s.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=Scammer Loses It When I Cost Him Thousands!	
ISell5L7xnQ	1	other	https://www.youtube.com/watch?v=ISell5L7xnQ	30	606		transcripts/ISell5L7xnQ.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=Did I Just Get Scammed?	
zpjQWi970TM	1	legal_threat	https://www.youtube.com/watch?v=zpjQWi970TM	30	733		transcripts/zpjQWi970TM.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=Law Firm Scammers Get Shut Down!	
PbdOu1YYpOk	1	other	https://www.youtube.com/watch?v=PbdOu1YYpOk	30	828		transcripts/PbdOu1YYpOk.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=Scamming a Scammer with His Own Scam!	
4Xopnt1SOng	1	payment_app	https://www.youtube.com/watch?v=4Xopnt1SOng	30	672		transcripts/4Xopnt1SOng.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=Cash App Scammer Finally Breaks!	
jP4Oo6vLcrY	1	call_center	https://www.youtube.com/watch?v=jP4Oo6vLcrY	60	720		transcripts/jP4Oo6vLcrY.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: skip intro; sample main scam-call segment; title=Call Center Scammer Answers Your Questions!	
FO9mWvJAugQ	1	other	https://www.youtube.com/watch?v=FO9mWvJAugQ	60	720		transcripts/FO9mWvJAugQ.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: skip intro; sample main scam-call segment; title=Calling Scammers by their real names	
RHHzoDqZL8M	1	call_center	https://www.youtube.com/watch?v=RHHzoDqZL8M	60	720		transcripts/RHHzoDqZL8M.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: skip intro; sample main scam-call segment; title=Destroying a scam call center	
U9s5tCBHCas	1	call_center	https://www.youtube.com/watch?v=U9s5tCBHCas	60	720		transcripts/U9s5tCBHCas.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: skip intro; sample main scam-call segment; title=Scammers Raided Live!	
8Uujua2CBvM	1	subscription	https://www.youtube.com/watch?v=8Uujua2CBvM	30	881		transcripts/8Uujua2CBvM.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: short scam-bait clip, light intro trim; title=The Disney+ Scammers	
qetP3tV0UY8	1	other	https://www.youtube.com/watch?v=qetP3tV0UY8	120	900		transcripts/qetP3tV0UY8.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: skip intro; sample early active scam-call segment; title=Jim Browning Teaches Me How To Fight Scammers	
xb_rgQ4IDS8	1	call_center	https://www.youtube.com/watch?v=xb_rgQ4IDS8	60	720		transcripts/xb_rgQ4IDS8.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: skip intro; sample main scam-call segment; title=Inside a scam call center	
PQjZxBrcvkI	1	call_center	https://www.youtube.com/watch?v=PQjZxBrcvkI	30	868		transcripts/PQjZxBrcvkI.json	bootstrap label from candidate_pool_50_30; scam; channel=Jim Browning; candidate window: short scam-bait clip, light intro trim; title=The $3 million scam call center	
9lLTFVfRJvM	1	amazon	https://www.youtube.com/watch?v=9lLTFVfRJvM	120	900		transcripts/9lLTFVfRJvM.json	bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample early active scam-call segment; title=Amazon Scammer Accused me of being a T......	
JaK1083Xx-c	1	refund	https://www.youtube.com/watch?v=JaK1083Xx-c	60	720		transcripts/JaK1083Xx-c.json	bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample main scam-call segment; title=Baiting Scammers for a $40,000 Refund	
5xhjKByPNHk	1	call_center	https://www.youtube.com/watch?v=5xhjKByPNHk	60	720		transcripts/5xhjKByPNHk.json	bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample main scam-call segment; title=Call Center Scammer made a huge mistake	
ZjFAjKZf6lA	1	other	https://www.youtube.com/watch?v=ZjFAjKZf6lA	120	900		transcripts/ZjFAjKZf6lA.json	bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample early active scam-call segment; title=Before you answer another scam call... Watch This	
XZNnKvWXGM4	1	other	https://www.youtube.com/watch?v=XZNnKvWXGM4	60	720		transcripts/XZNnKvWXGM4.json	bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample main scam-call segment; title=Scammers Stole $30,000 - We gave it all back!	
Wi_ph9ph3ZI	1	call_center	https://www.youtube.com/watch?v=Wi_ph9ph3ZI	60	720		transcripts/Wi_ph9ph3ZI.json	"bootstrap label from candidate_pool_50_30; scam; channel=Scammer Payback; candidate window: skip intro; sample main scam-call segment; title=Watch Us Break a Scam Call Center Using ""Water"""	
YfQU_Qf_uTI	1	call_center	https://www.youtube.com/watch?v=YfQU_Qf_uTI	120	900		transcripts/YfQU_Qf_uTI.json	bootstrap label from candidate_pool_50_30; scam; channel=Trilogy Media; candidate window: skip intro; sample early active scam-call segment; title=GLITTERBOMBING a Scam Call Center w/ Mark Rober	
Zk9_IEyS5G8	1	call_center	https://www.youtube.com/watch?v=Zk9_IEyS5G8	60	720		transcripts/Zk9_IEyS5G8.json	bootstrap label from candidate_pool_50_30; scam; channel=Trilogy Media; candidate window: skip intro; sample main scam-call segment; title=INDIAN HACKER Destroys Scam Call Center	
8DMlV18Y1k4	1	call_center	https://www.youtube.com/watch?v=8DMlV18Y1k4	120	900		transcripts/8DMlV18Y1k4.json	bootstrap label from candidate_pool_50_30; scam; channel=Trilogy Media; candidate window: skip intro; sample early active scam-call segment; title=Scammers HACKED and CONFRONTED at The People’s Call Center w/ Scammer Payback	
AY9PT27Tk4o	1	other	https://www.youtube.com/watch?v=AY9PT27Tk4o	120	900		transcripts/AY9PT27Tk4o.json	bootstrap label from candidate_pool_50_30; scam; channel=Trilogy Media; candidate window: skip intro; sample early active scam-call segment; title=The Most Insane Scammer Meltdown We’ve Ever Seen	
rlSb3iR2GNY	1	call_center	https://www.youtube.com/watch?v=rlSb3iR2GNY	60	720		transcripts/rlSb3iR2GNY.json	bootstrap label from candidate_pool_50_30; scam; channel=Trilogy Media; candidate window: skip intro; sample main scam-call segment; title=Escaping a Scam Call Center [HIDDEN CAMERA]	
11fGUPtG_UM	1	refund	https://www.youtube.com/watch?v=11fGUPtG_UM	120	900		transcripts/11fGUPtG_UM.json	bootstrap label from candidate_pool_50_30; scam; channel=More Kitboga; candidate window: skip intro; sample early active scam-call segment; title=Scammer Thinks He Lost $40K - He Rages (Full Call)	
OusVRggUxbg	1	refund	https://www.youtube.com/watch?v=OusVRggUxbg	120	900		transcripts/OusVRggUxbg.json	bootstrap label from candidate_pool_50_30; scam; channel=More Kitboga; candidate window: skip intro; sample early active scam-call segment; title=Scam Backfires When I Redeem $1K (Full 3.5h Call)	
pyvwuk7v94s	1	refund	https://www.youtube.com/watch?v=pyvwuk7v94s	60	720		transcripts/pyvwuk7v94s.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: skip intro; sample main scam-call segment; title=Scammers Cry After Ruining Their Own Scam - $430K Gone	
WKLRKCVar6Y	1	tech_support	https://www.youtube.com/watch?v=WKLRKCVar6Y	30	760		transcripts/WKLRKCVar6Y.json	bootstrap label from candidate_pool_50_30; scam; channel=Kitboga; candidate window: short scam-bait clip, light intro trim; title=Installing 100 Viruses - Calling Tech Support Scammers	
tghzp5vi8hc	1	tech_support	https://www.youtube.com/watch?v=tghzp5vi8hc	60	720		transcripts/tghzp5vi8hc.json	bootstrap label from candidate_pool_50_30; scam; channel=NanoBaiter; candidate window: skip intro; sample main scam-call segment; title=DESTROYING Scammers With a VIRUS Live On CCTV!	
xjp0nd7qOGo	1	call_center	https://www.youtube.com/watch?v=xjp0nd7qOGo	60	720		transcripts/xjp0nd7qOGo.json	bootstrap label from candidate_pool_50_30; scam; channel=NanoBaiter; candidate window: skip intro; sample main scam-call segment; title=Destroying This ENTIRE Scam Call Center!	
Un6sYuYTZyI	1	call_center	https://www.youtube.com/watch?v=Un6sYuYTZyI	60	720		transcripts/Un6sYuYTZyI.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: skip intro; sample main scam-call segment; title=Scamming a Scam Call Center from the Inside!	
k6c7AiSxPXA	1	call_center	https://www.youtube.com/watch?v=k6c7AiSxPXA	30	809		transcripts/k6c7AiSxPXA.json	bootstrap label from candidate_pool_50_30; scam; channel=Pleasant Green; candidate window: short scam-bait clip, light intro trim; title=I Took Over a Scam Call Center!	
neZu_Ff6UL8	1	other	https://www.youtube.com/watch?v=neZu_Ff6UL8	30	682		transcripts/neZu_Ff6UL8.json	bootstrap label from candidate_pool_50_30; scam; channel=IRLrosie; candidate window: short scam-bait clip, light intro trim; title=YELLING AT SCAMMERS, W/ OLD LADY VOICE | IRLrosie #scambaiting	
dych5ovyRf0	1	cruise	https://www.youtube.com/watch?v=dych5ovyRf0	30	598		transcripts/dych5ovyRf0.json	bootstrap label from candidate_pool_50_30; scam; channel=IRLrosie; candidate window: short scam-bait clip, light intro trim; title=ASKING this SCAMMER on a DATE to his CRUISE SCAM!	
rCkbg3OvGcw	0	customer_service	https://www.youtube.com/watch?v=rCkbg3OvGcw	0	125		transcripts/rCkbg3OvGcw.json	bootstrap label from candidate_pool_50_30; legit; channel=legit_search; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Nightmarish call between Comcast rep and customer trying to cancel cable goes viral	
1vH7L0S8Bjg	0	tech_support	https://www.youtube.com/watch?v=1vH7L0S8Bjg	0	156		transcripts/1vH7L0S8Bjg.json	bootstrap label from candidate_pool_50_30; legit; channel=legit_search; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Unbelievable iPhone 4 tech support call recorded!!	
Ryas9OANw-E	0	customer_service	https://www.youtube.com/watch?v=Ryas9OANw-E	0	120		transcripts/Ryas9OANw-E.json	bootstrap label from candidate_pool_50_30; legit; channel=legit_search; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=call center salesman goes insane (REAL RECORDING)	
seQ5RRI6H4c	0	customer_service	https://www.youtube.com/watch?v=seQ5RRI6H4c	60	540		transcripts/seQ5RRI6H4c.json	bootstrap label from candidate_pool_50_30; legit; channel=mock_call; candidate window: skip training intro; sample role-play section; title=Mock Call Sample Recording With Call Flow Guide: PART 1	
3ej67cf8Om0	0	delivery	https://www.youtube.com/watch?v=3ej67cf8Om0	60	540		transcripts/3ej67cf8Om0.json	bootstrap label from candidate_pool_50_30; legit; channel=mock_call; candidate window: skip training intro; sample role-play section; title=Lost Parcel Mock Call Sample	
rm6jfkXdB7Y	0	customer_service	https://www.youtube.com/watch?v=rm6jfkXdB7Y	60	540		transcripts/rm6jfkXdB7Y.json	bootstrap label from candidate_pool_50_30; legit; channel=mock_call; candidate window: skip training intro; sample role-play section; title=Mock Call with a Verbally Abusive Customer (with Explanation)	
9n84Nrsjh1A	0	tech_support	https://www.youtube.com/watch?v=9n84Nrsjh1A	120	720		transcripts/9n84Nrsjh1A.json	bootstrap label from candidate_pool_50_30; legit; channel=mock_call; candidate window: long training video; sample central role-play section; title=Telco Account Mock Call for Newbies - No Internet	
rM2ghJUx1Go	0	healthcare	https://www.youtube.com/watch?v=rM2ghJUx1Go	120	720		transcripts/rM2ghJUx1Go.json	bootstrap label from candidate_pool_50_30; legit; channel=mock_call; candidate window: long training video; sample central role-play section; title=HEALTHCARE Account Mock Call & Tips for Call Center Newbies	
fmhe6gnCq2w	0	customer_service	https://www.youtube.com/watch?v=fmhe6gnCq2w	120	720		transcripts/fmhe6gnCq2w.json	bootstrap label from candidate_pool_50_30; legit; channel=Kwestyon; candidate window: long training video; sample central role-play section; title=How to Empathize in Call Center Customer Service | Scripts, Mock Calls	
5CyZEDksQ0E	0	healthcare	https://www.youtube.com/watch?v=5CyZEDksQ0E	60	540		transcripts/5CyZEDksQ0E.json	bootstrap label from candidate_pool_50_30; legit; channel=Kwestyon; candidate window: skip training intro; sample role-play section; title=Healthcare Account Mock Call - CRYING CUSTOMER	
09Q5P5tCoRM	0	customer_service	https://www.youtube.com/watch?v=09Q5P5tCoRM	0	56		transcripts/09Q5P5tCoRM.json	bootstrap label from candidate_pool_50_30; legit; channel=Daryll Christiann Moya; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Sample Mock Call | Order Arrived Damaged (Part 1)	
NOKYveLcpbs	0	billing	https://www.youtube.com/watch?v=NOKYveLcpbs	20	507		transcripts/NOKYveLcpbs.json	bootstrap label from candidate_pool_50_30; legit; channel=Jeline Bracamonte; candidate window: light trim for intro/outro; title=Mock Call #19: Handling an Irate Customer with Billing Issues	
1LIL2nonofM	0	billing	https://www.youtube.com/watch?v=1LIL2nonofM	0	153		transcripts/1LIL2nonofM.json	bootstrap label from candidate_pool_50_30; legit; channel=Jeline Bracamonte; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Mock Call #29: Billing Dispute	
Rw1FVnkbde0	0	travel	https://www.youtube.com/watch?v=Rw1FVnkbde0	0	175		transcripts/Rw1FVnkbde0.json	bootstrap label from candidate_pool_50_30; legit; channel=Jeline Bracamonte; candidate window: short legitimate call, use full audio unless review finds intro/outro; title=Mock Call #27: Travel Account	
_fAMKYxO-Gg	0	banking	https://www.youtube.com/watch?v=_fAMKYxO-Gg	20	238		transcripts/_fAMKYxO-Gg.json	bootstrap label from candidate_pool_50_30; legit; channel=Jeline Bracamonte; candidate window: light trim for intro/outro; title=Mock Call #28: Bank Card Compromise Solution	
cm14XPpeFKQ	0	telco	https://www.youtube.com/watch?v=cm14XPpeFKQ	60	540		transcripts/cm14XPpeFKQ.json	bootstrap label from candidate_pool_50_30; legit; channel=Single Step English; candidate window: skip training intro; sample role-play section; title=English for Call Centers | Role Play Practice | Phone Company	
