target_label	video_id	youtube_url	channel	duration_sec	duration	category	title	start_sec	end_sec	review_status	timestamp_note
1	SLqA7FxS_FA	https://www.youtube.com/watch?v=SLqA7FxS_FA	Kitboga	1124	18:44	refund	Fake Refund Scammer Goes Insane After Wasting 40 Mins	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	HvtH5l9mcAM	https://www.youtube.com/watch?v=HvtH5l9mcAM	Kitboga	10104	2:48:24	gift_card	Scammers Go Mad Losing $3K In Gift Cards (Full Call)	120	900	candidate_window	candidate window: skip intro; sample early active scam-call segment
1	g5k8FStSw-c	https://www.youtube.com/watch?v=g5k8FStSw-c	Kitboga	1116	18:36	refund	Scammers vs Endless Refund Forms	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	rvDTIdbM85g	https://www.youtube.com/watch?v=rvDTIdbM85g	Kitboga	1106	18:26	gift_card	Making a Scam Call Center FURIOUS by Redeeming Gift Cards	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	K8weeeK-BPQ	https://www.youtube.com/watch?v=K8weeeK-BPQ	Kitboga	849	14:09	refund	Spending All My Money While Scammers Watch (they're furious)	30	834	candidate_window	candidate window: short scam-bait clip, light intro trim
1	rnwkX9fmZG0	https://www.youtube.com/watch?v=rnwkX9fmZG0	Kitboga	1266	21:06	refund	I Tried Refunding a Refund Scammer (he was furious)	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	SiPW2BCX8Mg	https://www.youtube.com/watch?v=SiPW2BCX8Mg	Kitboga	1510	25:10	refund	Refunding A Refund Scammer Using His Own Technique	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	o5q2Louzwxg	https://www.youtube.com/watch?v=o5q2Louzwxg	Kitboga	9833	2:43:53	refund	Refund Scam Challenge - All Characters In One Call & Google A Redeem (They Go Crazy) 2+hrs	120	900	candidate_window	candidate window: skip intro; sample early active scam-call segment
1	M5xLUiRbd6U	https://www.youtube.com/watch?v=M5xLUiRbd6U	Kitboga	2322	38:42	refund	"$4,000 ""Refund"" Scam Ruined - Spending The Money"	120	900	candidate_window	candidate window: skip intro; sample early active scam-call segment
1	D7V0Oda3DAA	https://www.youtube.com/watch?v=D7V0Oda3DAA	Kitboga	1020	17:00	gift_card	Entire Scam Call Center Goes Mad While I Redeem Gift Cards	60	720	candidate_window	candidate window: skip intro; sample main scam-call segment
1	sZMeC-04h0s	https://www.youtube.com/watch?v=sZMeC-04h0s	Pleasant Green	602	10:02	other	Scammer Loses It When I Cost Him Thousands!	30	587	candidate_window	candidate window: short scam-bait clip, light intro trim
1	ISell5L7xnQ	https://www.youtube.com/watch?v=ISell5L7xnQ	Pleasant Green	621	10:21	other	Did I Just Get Scammed?	30	606	candidate_window	candidate window: short scam-bait clip, light intro trim
1	i1HiVe7LM4c	https://www.youtube.com/watch?v=i1HiVe7LM4c	Pleasant Green	523	8:43	call_center	Trying to Raid an Indian Scam Call Center | Indian Scam Story #3	356	485	reviewed_window	reviewed transcript range: victim-warning/call-center incident segment
1	zpjQWi970TM	https://www.youtube.com/watch?v=zpjQWi970TM	Pleasant Green	748	12:28	legal_threat	Law Firm Scammers Get Shut Down!	30	733	candidate_window	candidate window: short scam-bait clip, light intro trim
1	PbdOu1YYpOk	https://www.youtube.com/watch?v=PbdOu1YYpOk	Pleasant Green	843	14:03	other	Scamming a Scammer with His Own Scam!	30	828	candidate_window	candidate window: short scam-bait clip, light intro trim
