target_label	video_id	youtube_url	duration	category	channel_or_query	title	review_status	start_sec	end_sec	notes
1	SLqA7FxS_FA	https://www.youtube.com/watch?v=SLqA7FxS_FA	18:44	refund	Kitboga	Fake Refund Scammer Goes Insane After Wasting 40 Mins	needs_review			
1	HvtH5l9mcAM	https://www.youtube.com/watch?v=HvtH5l9mcAM	2:48:24	gift_card	Kitboga	Scammers Go Mad Losing $3K In Gift Cards (Full Call)	needs_review			
1	g5k8FStSw-c	https://www.youtube.com/watch?v=g5k8FStSw-c	18:36	refund	Kitboga	Scammers vs Endless Refund Forms	needs_review			
1	rvDTIdbM85g	https://www.youtube.com/watch?v=rvDTIdbM85g	18:26	gift_card	Kitboga	Making a Scam Call Center FURIOUS by Redeeming Gift Cards	needs_review			
1	K8weeeK-BPQ	https://www.youtube.com/watch?v=K8weeeK-BPQ	14:09	refund	Kitboga	Spending All My Money While Scammers Watch (they're furious)	needs_review			
1	rnwkX9fmZG0	https://www.youtube.com/watch?v=rnwkX9fmZG0	21:06	refund	Kitboga	I Tried Refunding a Refund Scammer (he was furious)	needs_review			
1	SiPW2BCX8Mg	https://www.youtube.com/watch?v=SiPW2BCX8Mg	25:10	refund	Kitboga	"Refunding" A Refund Scammer Using His Own Technique	needs_review			
1	o5q2Louzwxg	https://www.youtube.com/watch?v=o5q2Louzwxg	2:43:53	refund	Kitboga	Refund Scam Challenge - All Characters In One Call & Google A Redeem (They Go Crazy) 2+hrs	needs_review			
1	M5xLUiRbd6U	https://www.youtube.com/watch?v=M5xLUiRbd6U	38:42	refund	Kitboga	$4,000 "Refund" Scam Ruined - Spending The Money	needs_review			
1	D7V0Oda3DAA	https://www.youtube.com/watch?v=D7V0Oda3DAA	17:00	gift_card	Kitboga	Entire Scam Call Center Goes Mad While I Redeem Gift Cards	needs_review			
1	sZMeC-04h0s	https://www.youtube.com/watch?v=sZMeC-04h0s	10:02	other	Pleasant Green	Scammer Loses It When I Cost Him Thousands!	needs_review			
1	ISell5L7xnQ	https://www.youtube.com/watch?v=ISell5L7xnQ	10:21	other	Pleasant Green	Did I Just Get Scammed?	needs_review			
1	i1HiVe7LM4c	https://www.youtube.com/watch?v=i1HiVe7LM4c	8:43	call_center	Pleasant Green	Trying to Raid an Indian Scam Call Center | Indian Scam Story #3	needs_review			
1	zpjQWi970TM	https://www.youtube.com/watch?v=zpjQWi970TM	12:28	legal_threat	Pleasant Green	Law Firm Scammers Get Shut Down!	needs_review			
1	PbdOu1YYpOk	https://www.youtube.com/watch?v=PbdOu1YYpOk	14:03	other	Pleasant Green	Scamming a Scammer with His Own Scam!	needs_review			
1	e79yjpumaDI	https://www.youtube.com/watch?v=e79yjpumaDI	8:54	other	Pleasant Green	We Saved A Woman From Losing $16k to Scammers!	needs_review			
1	4Xopnt1SOng	https://www.youtube.com/watch?v=4Xopnt1SOng	11:27	payment_app	Pleasant Green	Cash App Scammer Finally Breaks!	needs_review			
1	jP4Oo6vLcrY	https://www.youtube.com/watch?v=jP4Oo6vLcrY	17:00	call_center	Pleasant Green	Call Center Scammer Answers Your Questions!	needs_review			
1	FO9mWvJAugQ	https://www.youtube.com/watch?v=FO9mWvJAugQ	20:55	other	Jim Browning	Calling Scammers by their real names	needs_review			
1	RHHzoDqZL8M	https://www.youtube.com/watch?v=RHHzoDqZL8M	16:58	call_center	Jim Browning	Destroying a scam call center	needs_review			
1	U9s5tCBHCas	https://www.youtube.com/watch?v=U9s5tCBHCas	19:37	call_center	Jim Browning	Scammers Raided Live!	needs_review			
1	8Uujua2CBvM	https://www.youtube.com/watch?v=8Uujua2CBvM	14:56	subscription	Jim Browning	The Disney+ Scammers	needs_review			
1	qetP3tV0UY8	https://www.youtube.com/watch?v=qetP3tV0UY8	33:00	other	Jim Browning	Jim Browning Teaches Me How To Fight Scammers	needs_review			
1	xb_rgQ4IDS8	https://www.youtube.com/watch?v=xb_rgQ4IDS8	15:49	call_center	Jim Browning	Inside a scam call center	needs_review			
1	PQjZxBrcvkI	https://www.youtube.com/watch?v=PQjZxBrcvkI	14:43	call_center	Jim Browning	The $3 million scam call center	needs_review			
1	9lLTFVfRJvM	https://www.youtube.com/watch?v=9lLTFVfRJvM	30:06	amazon	Scammer Payback	Amazon Scammer Accused me of being a T......	needs_review			
1	JaK1083Xx-c	https://www.youtube.com/watch?v=JaK1083Xx-c	16:26	refund	Scammer Payback	Baiting Scammers for a $40,000 Refund	needs_review			
1	5xhjKByPNHk	https://www.youtube.com/watch?v=5xhjKByPNHk	19:08	call_center	Scammer Payback	Call Center Scammer made a huge mistake	needs_review			
1	ZjFAjKZf6lA	https://www.youtube.com/watch?v=ZjFAjKZf6lA	41:08	other	Scammer Payback	Before you answer another scam call... Watch This	needs_review			
1	XZNnKvWXGM4	https://www.youtube.com/watch?v=XZNnKvWXGM4	18:22	other	Scammer Payback	Scammers Stole $30,000 - We gave it all back!	needs_review			
1	Wi_ph9ph3ZI	https://www.youtube.com/watch?v=Wi_ph9ph3ZI	26:01	call_center	Scammer Payback	Watch Us Break a Scam Call Center Using "Water"	needs_review			
1	6xN_6joxx5U	https://www.youtube.com/watch?v=6xN_6joxx5U	10:02	call_center	Scammer Payback	I destroy this Call Center full of Scammers	needs_review			
1	YfQU_Qf_uTI	https://www.youtube.com/watch?v=YfQU_Qf_uTI	48:33	call_center	Trilogy Media	GLITTERBOMBING a Scam Call Center w/ Mark Rober	needs_review			
1	Zk9_IEyS5G8	https://www.youtube.com/watch?v=Zk9_IEyS5G8	21:07	call_center	Trilogy Media	INDIAN HACKER Destroys Scam Call Center	needs_review			
1	8DMlV18Y1k4	https://www.youtube.com/watch?v=8DMlV18Y1k4	1:30:50	call_center	Trilogy Media	Scammers HACKED and CONFRONTED at The People’s Call Center w/ Scammer Payback	needs_review			
1	AY9PT27Tk4o	https://www.youtube.com/watch?v=AY9PT27Tk4o	1:00:23	other	Trilogy Media	The Most Insane Scammer Meltdown We’ve Ever Seen	needs_review			
1	rlSb3iR2GNY	https://www.youtube.com/watch?v=rlSb3iR2GNY	29:54	call_center	Trilogy Media	Escaping a Scam Call Center [HIDDEN CAMERA]	needs_review			
1	SeW-CsAP17k	https://www.youtube.com/watch?v=SeW-CsAP17k	6:32	other	Trilogy Media	Scammer Completely GIVES UP On Us - #scambaiting with IRLrosie!	needs_review			
1	Kvl8-9FTYYI	https://www.youtube.com/watch?v=Kvl8-9FTYYI	3:53	other	Trilogy Media	Calling Scammer Back Repeatedly Until They Change The Number	needs_review			
1	AEZdbouYj4s	https://www.youtube.com/watch?v=AEZdbouYj4s	8:39	other	Trilogy Media	Calling Scammer as Kermit the Frog and DRUNK ALEXA! #scambaiting with IRLrosie!	needs_review			
0	rCkbg3OvGcw	https://www.youtube.com/watch?v=rCkbg3OvGcw	2:05	customer_service	legit_search	Nightmarish call between Comcast rep and customer trying to cancel cable goes viral	needs_review			
0	1vH7L0S8Bjg	https://www.youtube.com/watch?v=1vH7L0S8Bjg	2:36	tech_support	legit_search	Unbelievable iPhone 4 tech support call recorded!!	needs_review			
0	Ryas9OANw-E	https://www.youtube.com/watch?v=Ryas9OANw-E	2:00	customer_service	legit_search	call center salesman goes insane (REAL RECORDING)	needs_review			
0	seQ5RRI6H4c	https://www.youtube.com/watch?v=seQ5RRI6H4c	16:33	customer_service	mock_call	Mock Call Sample Recording With Call Flow Guide: PART 1	needs_review			
0	3ej67cf8Om0	https://www.youtube.com/watch?v=3ej67cf8Om0	13:39	delivery	mock_call	Lost Parcel Mock Call Sample	needs_review			
0	IVoWT_YyEog	https://www.youtube.com/watch?v=IVoWT_YyEog	7:24	billing	mock_call	Mock Call Sample Script | Billing Question | Short Version	needs_review			
