video_id	youtube_url	start_sec	end_sec	category	notes
SLqA7FxS_FA	https://www.youtube.com/watch?v=SLqA7FxS_FA	60	720	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Fake Refund Scammer Goes Insane After Wasting 40 Mins
HvtH5l9mcAM	https://www.youtube.com/watch?v=HvtH5l9mcAM	120	900	gift_card	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Scammers Go Mad Losing $3K In Gift Cards (Full Call)
g5k8FStSw-c	https://www.youtube.com/watch?v=g5k8FStSw-c	60	720	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Scammers vs Endless Refund Forms
rvDTIdbM85g	https://www.youtube.com/watch?v=rvDTIdbM85g	60	720	gift_card	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Making a Scam Call Center FURIOUS by Redeeming Gift Cards
K8weeeK-BPQ	https://www.youtube.com/watch?v=K8weeeK-BPQ	30	834	refund	scam; channel=Kitboga; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Spending All My Money While Scammers Watch (they're furious)
rnwkX9fmZG0	https://www.youtube.com/watch?v=rnwkX9fmZG0	60	720	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=I Tried Refunding a Refund Scammer (he was furious)
SiPW2BCX8Mg	https://www.youtube.com/watch?v=SiPW2BCX8Mg	60	720	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Refunding A Refund Scammer Using His Own Technique
o5q2Louzwxg	https://www.youtube.com/watch?v=o5q2Louzwxg	120	900	refund	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=Refund Scam Challenge - All Characters In One Call & Google A Redeem (They Go Crazy) 2+hrs
M5xLUiRbd6U	https://www.youtube.com/watch?v=M5xLUiRbd6U	120	900	refund	"scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample early active scam-call segment; title=$4,000 ""Refund"" Scam Ruined - Spending The Money"
D7V0Oda3DAA	https://www.youtube.com/watch?v=D7V0Oda3DAA	60	720	gift_card	scam; channel=Kitboga; status=candidate_window; candidate window: skip intro; sample main scam-call segment; title=Entire Scam Call Center Goes Mad While I Redeem Gift Cards
sZMeC-04h0s	https://www.youtube.com/watch?v=sZMeC-04h0s	30	587	other	scam; channel=Pleasant Green; status=candidate_window; candidate window: short scam-bait clip, light intro trim; title=Scammer Loses It When I Cost Him Thousands!
